date,1. open,2. high,3. low,4. close,5. volume
2015-12-21 00:00:00-05:00,107.81,109.51,106.39,107,244507
2015-12-22 00:00:00-05:00,107.35,108.88,106.52,108.14,345617
2015-12-23 00:00:00-05:00,108.59,110,108.175,109.09,221741
2015-12-24 00:00:00-05:00,108.89,109.93,108.06,109.23,93706
2015-12-28 00:00:00-05:00,108.91,109.08,107.37,108.46,163574
2015-12-29 00:00:00-05:00,108.75,109.9,108.07,109.01,150253
2015-12-30 00:00:00-05:00,109.09,109.89,107.0031,108.22,342711
2015-12-31 00:00:00-05:00,107.9,108.25,107.2,107.87,255434
2016-01-04 00:00:00-05:00,106.66,106.95,104.23,106.39,332380
2016-01-05 00:00:00-05:00,107.02,108.88,106.7,107.9999,355473
2016-01-06 00:00:00-05:00,105.75,107.91,101.1801,101.76,738705
2016-01-07 00:00:00-05:00,100.32,100.638,95.84,96.54,728840
2016-01-08 00:00:00-05:00,97.3,97.95,94.14,94.39,466496
2016-01-11 00:00:00-05:00,94.47,94.9999,90.65,91.72,635130
2016-01-12 00:00:00-05:00,92.02,94.49,92.02,93.89,350465
2016-01-13 00:00:00-05:00,95.58,96.89,92.04,92.42,429875
2016-01-14 00:00:00-05:00,92.6,93.45,90.6,93,682223
2016-01-15 00:00:00-05:00,90.28,92.21,88.88,91.34,382654
2016-01-19 00:00:00-05:00,92.1,92.67,90.46,91,390819
2016-01-20 00:00:00-05:00,89.67,90.68,86.12,89.61,494620
2016-01-21 00:00:00-05:00,89.51,90.04,86.86,86.98,528674
2016-01-22 00:00:00-05:00,88.27,90.09,87.4,88.16,472119
2016-01-25 00:00:00-05:00,87.17,88.03,83.465,83.73,975913
2016-01-26 00:00:00-05:00,84.27,86.29,84.27,84.73,501162
2016-01-27 00:00:00-05:00,84.59,88.2,81.3241,86.01,550265
2016-01-28 00:00:00-05:00,86.56,88.165,85,86.38,471261
2016-01-29 00:00:00-05:00,87.09,90.42,87.09,90.42,488913
2016-02-01 00:00:00-05:00,89.46,90.29,88.76,90.25,663696
2016-02-02 00:00:00-05:00,89.51,90,87.8,88.27,541453
2016-02-03 00:00:00-05:00,88.73,89.01,85.99,87.39,230288
2016-02-04 00:00:00-05:00,87.28,88.8,85.9,87.54,260606
2016-02-05 00:00:00-05:00,87.18,87.66,84.24,84.3,354145
2016-02-08 00:00:00-05:00,82.98,84.12,80.59,81.5,593110
2016-02-09 00:00:00-05:00,80.29,84.38,80.29,83.34,422442
2016-02-10 00:00:00-05:00,83.34,85.015,82.3,82.58,249259
2016-02-11 00:00:00-05:00,80.47,82.38,79.11,80.62,402996
2016-02-12 00:00:00-05:00,81.24,83.27,80.78,82.55,407883
2016-02-16 00:00:00-05:00,83.77,85.31,83.06,84.99,218204
2016-02-17 00:00:00-05:00,85.83,86.88,85.47,86.59,316852
2016-02-18 00:00:00-05:00,86.66,87.15,84.05,84.78,260253
2016-02-19 00:00:00-05:00,83.96,87.41,83.81,87.27,277397
2016-02-22 00:00:00-05:00,88.67,90.2,87.97,88.6,288868
