date,1. open,2. high,3. low,4. close,5. volume
2019-11-22 00:00:00-05:00,10.1,10.15,10.08,10.11,2725500
2019-11-25 00:00:00-05:00,10.14,10.14,10.12,10.12,65031
2019-11-26 00:00:00-05:00,10.1,10.17,10.1,10.16,737372
2019-11-27 00:00:00-05:00,10.1,10.18,10.1,10.17,125230
2019-11-29 00:00:00-05:00,10.15,10.15,10.15,10.15,1900
2019-12-02 00:00:00-05:00,10.1586,10.1587,10.15,10.1501,650
2019-12-03 00:00:00-05:00,10.18,10.18,10.18,10.18,400
2019-12-04 00:00:00-05:00,10.18,10.18,10.17,10.18,19221
2019-12-05 00:00:00-05:00,10.2,10.2,10.1483,10.19,1250
2019-12-06 00:00:00-05:00,10.2,10.22,10.15,10.185,19404
2019-12-09 00:00:00-05:00,10.1844,10.193,10.15,10.15,4850
2019-12-10 00:00:00-05:00,10.1612,10.18,10.1611,10.17,3714
2019-12-11 00:00:00-05:00,10.15,10.17,10.15,10.15,15000
